,Kingdom,Phylum,Class,Order,Family,Genus,Species
b6aa2186be5e7c7aca2bca54ff8390fc,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-628, s__CAG-628 sp003524085
d98fc7c244e3e178d62773eb19c6cc4e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Agathobacter_164117, g__Agathobacter_164117
b63c6a111cdf271b5b0a565c700c223d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__Borkfalkiaceae, g__UBA1259, g__UBA1259
3172c4b9f25ab33050ba5c90ccfa15e7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__UBA7173, s__UBA7173 sp900540205
9f434b85b2783106f979bd283f544e96,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__Limisoma, s__Limisoma sp900548875
ba4925d004f3d04ff0ce5630dfe7e02d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__UBA7173, s__UBA7173 sp004102805
147a6f3f05ee13b805ee867e5fba4e1a,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Succinivibrionaceae, g__Succinivibrio, s__Succinivibrio sp000431835
2a0afce72f7718f7a02f9349b7200ced,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
903d08d3ad503db02c172841b3dc58b3,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
81bdac058842c481da6995405c0645fa,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RFN20, f__CAG-288, g__Scatoplasma, g__Scatoplasma
8538d07b8c1e8676f9b9c8c242aab14a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, f__Acutalibacteraceae, f__Acutalibacteraceae
bf8da48dc58a603ab35327d655a4ff4c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, f__Oscillospiraceae_88309, f__Oscillospiraceae_88309
44158349d8858abc6c04aada0c131da5,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Megasphaeraceae, g__Megasphaera_A_38685, s__Megasphaera_A_38685 elsdenii
3cf79108f6368da06b4dce8375cfba0a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Eubacterium_I, g__Eubacterium_I
61d7d3721ec471026381aaf40e37e10f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__Sodaliphilus, g__Sodaliphilus
3e21d306b4a0a5186369e11013e0c4b7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
add0929ff581ea60a302a167b5b9bc61,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp002251365
3b3f79fff3f7da07ea6780d656cff5d8,d__Bacteria, p__Desulfobacterota_I, c__Desulfovibrionia, o__Desulfovibrionales, f__Desulfovibrionaceae, g__Desulfovibrio_R_446353, s__Desulfovibrio_R_446353 faecigallinarum
586dd02b7d2c245581a4bd046db292b1,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Lawsonibacter, g__Lawsonibacter
5425a5a4065e857eeec9f39a02ef5076,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__CAG-177, s__CAG-177 sp003538135
f11cbf19c415f56b70ad7d7b6f567408,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, f__Rikenellaceae, f__Rikenellaceae
4cf0f3b88b751acb98ed05877e1260bd,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__UBA2658, s__UBA2658 sp009929315
b226ed78e0339a26418f59fe379239df,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
96f95f5116bde81398404e036b47f03e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Faecalibacterium, s__Faecalibacterium prausnitzii_C_71358
5751209f335fbfcec55293b2888a7e5c,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales_595427, f__Burkholderiaceae_A_595427, g__Parasutterella, g__Parasutterella
35a6264bd01b9c3f487e7433f3e5b044,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__RUG115, g__RUG115
7f8255a5a64ba186e4eed7175901dd66,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
5e61b3ce348cc1486999e71e355195cc,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-74, g__Limiplasma, s__Limiplasma merdipullorum
c3d5e05b29449c4ddb4346637bdecd74,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__ER4, s__ER4 sp000765235
d842bca000e77799d250feb5f102ff7d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp002251365
f546ffa1991488789781961b9e01a984,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Lawsonibacter, s__Lawsonibacter sp014287875
4ce18f2639992fd11d85b2dbfea44703,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp003447235
46c20aa7d6df00b635439dde67b71dac,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Paludibacteraceae, g__RF16, s__RF16 sp002452095
28edcce6405a3119f87a1d4ccff020e1,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Veillonellaceae, g__Veillonella_A, g__Veillonella_A
eb1cf988605733e75483528613cd423e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Eubacteriales_258471, f__Anaerofustaceae, f__Anaerofustaceae, f__Anaerofustaceae
3f9afe17105dd0c33bf41ce08824f362,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Butyricicoccaceae, g__Agathobaculum, s__Agathobaculum sp900291975
03c51db918426999b088431af7c4f859,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Butyricimonas, g__Butyricimonas
faf556f228391491b8fe866d8ca60c5d,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__CAG-312, g__QALA01, g__QALA01
a62d7f13d38c34a26f6c31e23bfbf15f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Barnesiellaceae, g__Barnesiella, s__Barnesiella intestinihominis
c61057b9efd34372246a4771eb610afd,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella hominis
7af26d8be04e96b5c919a854606e7108,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Clostridiales, f__Caloramatoraceae, g__Caloramator_B, g__Caloramator_B
1a0c6837eddcb53acaf1f2009b0954b7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides_H, s__Bacteroides_H fragilis
4eb685f70f7547c308eacc075396bd81,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__Merdicola, g__Merdicola
eb32b66c151a6a728d3b36580275828f,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Aerococcaceae, g__Granulicatella, g__Granulicatella
25ea8d7f28c50294e3978fc786841708,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Acholeplasmatales, f__Anaeroplasmataceae, f__Anaeroplasmataceae, f__Anaeroplasmataceae
bff8147cd56de4ecf8b5bd74a1d32ba5,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Longicatena, s__Longicatena caecimuris
e0fc7e9a421580cbfcfa30cfa0917791,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Gemmiger_A_73129, g__Gemmiger_A_73129
be6771425c02791586aba4678ef03a4d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
cc034162aa16c78a097853e1b3923159,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
137365dc84f6b490e430ffe876c856e5,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
4ebcf74b2783b601ceaf1ca7a994420a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Clostridiales, f__Clostridiaceae_222000, g__Clostridium_P, s__Clostridium_P massiliamazoniense
8b5783816b71575d6b3990a79a0b7b34,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
e7cfd084265c4df4856ca07b1c9b24ee,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__Streptococcus mutans
d05140aed8b5f1c3f9aea1b5a31860cd,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales_993521, f__Fusobacteriaceae_993521, g__Fusobacterium_A, g__Fusobacterium_A
77899213845055b1effd51c039de7163,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Enterobacteriaceae_A, f__Enterobacteriaceae_A, f__Enterobacteriaceae_A
9d5054752ed33d6a22bd0f96b5618b1c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides_H, s__Bacteroides_H caccae
d7c13291786232913e875b27ae2448e2,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
48c6c4649d9b19912324ad49b307b2e5,d__Bacteria, p__Cyanobacteria, c__Vampirovibrionia, o__Gastranaerophilales, f__Gastranaerophilaceae, f__Gastranaerophilaceae, f__Gastranaerophilaceae
45ad96bb1617556e2d4e568b95dd88f5,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__Onthocola_B, s__Onthocola_B sp000437355
45d741078ee72830c5fd62351abcb769,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruminococcus_C_59129, g__Ruminococcus_C_59129
2ce96a76939bf063d3ae32748955f078,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__ML615J-28, f__CAG-698, g__UBA2253, g__UBA2253
c5e3abe1c318ba13104a4762b8451f99,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, g__Eubacterium_N, g__Eubacterium_N
ec47b102e5f59af294a3b353fc59fe4a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
e9fab05979773713f28d805eb79dab12,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-138, f__CAG-138, f__CAG-138
8ed22361050be604b498f18b10c1261b,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-138, g__Aphodomorpha, s__Aphodomorpha intestinavium
0c9fd63ab3c3639514527cde0ffcd922,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-273, s__CAG-273 sp003507395
aedfeac22b55a5bcb53f2b1d834361a2,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, g__UMGS2069, g__UMGS2069
4f7f675f314678a30dc7641625d3fa29,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, g__S5-A14a, s__S5-A14a sp000758905
f0e5268a1e321cec6068b1576162b042,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Lawsonibacter, s__Lawsonibacter asaccharolyticus
f3311640b5a80a19c399f3068b6233ad,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Rikenella, g__Rikenella
895a3e107fd2a50b4189ed3cac44abd4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, f__Anaerovoracaceae, f__Anaerovoracaceae
9cca6c1f9e93a3c138215615a7132897,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, s__Faecousia sp000434635
56bde454092279f47b556883d5909620,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, g__Streptococcus
71abc494dc3d6ea901319e60fa78e66d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Peptostreptococcaceae_256921, g__Intestinibacter, g__Intestinibacter
e485c6a2fbe8d15200d5950f5ffa8521,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, f__Muribaculaceae, f__Muribaculaceae
288f4bd2db451cd7c27a6f22a25493ed,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Barnesiellaceae, g__Barnesiella, s__Barnesiella intestinihominis
fdbee64f10b65465dea41a6f3491e81c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Enterocloster, g__Enterocloster
db940528d129f52748d93515ed978e30,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__P3, f__P3, f__P3
20fa3f437cedd22abee09018113665b3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__Limisoma, s__Limisoma sp900548875
c1df183f011ee86abd7df0d0a45bdbe1,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
84d5a713b1d46f0e0e0f7ba784e9925d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella rara
fd34409bb62a618ef02932a15feb386b,d__Bacteria, p__Firmicutes_B_370539, c__Peptococcia, o__Peptococcales, f__Peptococcaceae_369362, g__Peptococcus, s__Peptococcus niger
5c496ad373389a3677f2839b39dccc57,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, o__Christensenellales, o__Christensenellales, o__Christensenellales
3cd33c593e292722ce6d3fbe728c6590,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Butyricimonas, s__Butyricimonas faecalis
481de3bdc346efb5d353ea229935143e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
06f834505e1cd2ea395aa8a5cc31ee3d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Barnesiellaceae, g__Barnesiella, s__Barnesiella intestinihominis
01b983a1556bb306ba94ecbe4620e0f5,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, f__UBA1242, f__UBA1242
72e9c0f9359b22ac833636d2b90dc894,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, o__Lachnospirales, o__Lachnospirales, o__Lachnospirales
d5135e3e52ad09c3e39312bf9236b4b7,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales_993521, f__Fusobacteriaceae_993521, g__Cetobacterium_A, s__Cetobacterium_A somerae
69659333bb59e79888c380d8430d2252,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp000435075
9b9317e5b5af1982fe13477720efd26f,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__G11, s__G11 sp900103495
0e89bf0621212446bf6964b9a6b4f360,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-533, s__CAG-533 sp000434495
00a96fbd0ac34bfd245f9c24f8737f7d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Blautia_A_141781, s__Blautia_A_141781 obeum
abc2707fffb42125b8666922dfcaec61,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, f__Muribaculaceae, f__Muribaculaceae
8fc3948846bc06bdb1d9253580c9c25c,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales_993521, f__Fusobacteriaceae_993521, g__Fusobacterium_B, g__Fusobacterium_B
16a2969ed869f3db0a636959acbbb332,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__UBA3789, g__UBA3789
007320d09c8d34daf40ffa7045493f56,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__UBA1381, f__UBA1381, g__CAG-41, s__CAG-41 sp001941225
4cf2a6f035318be14b3d87e440dd0119,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, s__Faecousia sp000434635
008396d1df8813c96ee7a9d31c3f05eb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella pectinovora
5881add8d4ed199d3401445e97b976e5,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__CAG-485, s__CAG-485 sp002493045
7f4767d01227d691b8e5125a2a7d997f,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Absicoccus, g__Absicoccus
2dfd69d06ed9a0b1039880a84202bed3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, g__Prevotella
d46f7bf5556893b1a52f835991191722,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-302, g__CAG-302
2a80c873d5a61dd385fda1ffa09fc925,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Anaerotignaceae, g__Anaerotignum_189125, g__Anaerotignum_189125
0c5ab99f9c7460a6db64e61e56a26266,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
709760a659666e53868636733dc971bc,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp900546395
8f3f6e1b1d30687270f625aaffa029f5,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
0452ab458411f8ab1250e88d1867e7c8,d__Bacteria, p__Cyanobacteria, c__Vampirovibrionia, o__Gastranaerophilales, f__Gastranaerophilaceae, g__Limenecus, s__Limenecus avicola
41e5240f34bf7c921d45b77ea68c97e1,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Dorea_A, s__Dorea_A longicatena
d8520b87ed44d95d9d1a02dbd880df5c,d__Bacteria, p__Actinobacteriota, c__Actinomycetia, o__Mycobacteriales, f__Mycobacteriaceae, g__Corynebacterium, g__Corynebacterium
5a79174eaed8cc05bed25f7e0ea2e7b1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
6d8bba144d8f8cb889b54002ce52d985,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
0e226d197c2f253bcee5f15026512f90,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Merdimonas, g__Merdimonas
8095c9ffee1aa275977197cd41bf1f39,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
64dcf61a481a332f064c22cd24e52afb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, g__Prevotella
f42ddd3aae7b2ae382be01848d946b91,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__UBA737, s__UBA737 sp900547445
6069fe9237022c0ef05c4f8bc535280b,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__DSM-16016, f__Caldibacillaceae, g__Bacillus_J, s__Bacillus_J thermoamylovorans
8b194fafb8ddf32495915cd5cd046afa,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Phocaeicola_A_858004, s__Phocaeicola_A_858004 barnesiae
0a8d0eafd9650f81dc99861a2455d96c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
36598fabbc9df517464e7579109ac935,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruminiclostridium_E, s__Ruminiclostridium_E sp009782265
38d51af976ff46b0cbc2e539344c83a6,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales_595427, f__Burkholderiaceae_A_595427, g__Duodenibacillus, s__Duodenibacillus intestinigallinarum
782eb7ed807a3833c0ed0b9278b019ee,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
8f187ecd9b817ce4b4ecb98eb311ccaa,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
583afc34fa5ef23ee572f67db0905a0d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, s__Ruminococcus_E sp003438075
ba935f9edb868c3103c795558ac4d5eb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella buccae
58f8a23c93f9cb2107649853fcd44edb,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Enterocloster, s__Enterocloster lavalensis
5a6c87d6a4eb5e114959f6192f29b641,d__Bacteria, p__Actinobacteriota, c__Actinomycetia, o__Actinomycetales, f__Bifidobacteriaceae, g__Bifidobacterium_388775, s__Bifidobacterium adolescentis
fed3a437c45f7373ab5b95d97f6af36d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Anaerobutyricum, g__Anaerobutyricum
c3e8cba49b71c2e93def536695dbbc64,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
8b3838835543bcea0d1d5ecb257a9b47,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Succinivibrionaceae, g__Succinivibrio, s__Succinivibrio sp000431835
43de2d22c3f82423071816f91be76df7,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Anaerobutyricum, g__Anaerobutyricum
dae9a9c7d73aac87e17fa1bed21b6dea,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, g__Copromorpha, s__Copromorpha sp900066305
0204690a7b336de008e59e197eb174e3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp003447235
fca1a0371be8c04941367038141e3374,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, g__UBA11490, s__UBA11490 sp003524095
c1b7e516ab16652b49034ce94203e69d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA11471, g__UBA11471, s__UBA11471 sp000434215
018974263f750ec4330383cfb0e46cfa,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-977, g__CAG-977, s__CAG-977 sp000434295
dce95af597fa3afee1069cf8c9b36ebd,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Faecalibacterium, s__Faecalibacterium prausnitzii_C_71351
3f72d0ba2d85e91b740b1cc5195bc5be,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, o__Opitutales, o__Opitutales, o__Opitutales
ac0bf75082ff313b11edaea95a41c53f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__UBA3263, s__UBA3263 sp001689615
054bba3ab916fd3a76e0f0f0742e66dd,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Coprococcus_A_121497, s__Coprococcus_A_121497 eutactus
a01206f0b17de33744bdac813c3c6eca,d__Bacteria, p__Desulfobacterota_I, c__Desulfovibrionia, o__Desulfovibrionales, f__Desulfovibrionaceae, g__Desulfovibrio_R_446353, s__Desulfovibrio_R_446353 desulfuricans_A_446137
737b623661f18fd49f9a3efb07004937,d__Bacteria, p__Bacteroidota, c__Bacteroidia, c__Bacteroidia, c__Bacteroidia, c__Bacteroidia, c__Bacteroidia
d71d12dc0778343b6b14ce517b373f00,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, c__Clostridia_258483, c__Clostridia_258483, c__Clostridia_258483, c__Clostridia_258483
fd2eb1fe2266eed160a855f715f7c77e,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__Streptococcus anginosus
6cdbf24ca7d2f2577ec0092c15ce87e6,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
5654714fd17021f92582b02756943a86,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-552, f__CAG-552, f__CAG-552
4c2203438c83bb0b8f26d45a74db1367,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Roseburia, s__Roseburia inulinivorans
49223e459df56e5bff5c8cb51ceb2ca2,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, f__UBA932, f__UBA932
